Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MP260320C00013000,3/4/2026  11:01 AM,13,47.00,42.85,46.15,0.00,0.00%,1,11,637.50%
MP260320C00015000,12/5/2025  2:26 PM,15,47.73,42.15,45.50,0.00,0.00%,1,35,864.06%
MP260320C00018000,10/10/2025  11:17 AM,18,63.46,38.80,42.80,0.00,0.00%,1,13,749.61%
MP260320C00020000,2/13/2026  9:46 AM,20,36.50,36.20,38.35,0.00,0.00%,1,267,364.06%
MP260320C00022000,12/15/2025  10:41 AM,22,33.49,35.20,38.55,0.00,0.00%,-,1,640.63%
MP260320C00023000,1/26/2026  10:11 AM,23,42.65,35.40,38.00,0.00,0.00%,2,414,701.95%
MP260320C00024000,7/10/2025  9:40 AM,24,22.00,42.60,46.50,0.00,0.00%,-,2,"1,424.22%"
MP260320C00025000,2/3/2026  12:48 PM,25,38.30,33.25,36.20,0.00,0.00%,1,88,649.80%
MP260320C00026000,10/22/2025  11:49 AM,26,40.20,30.40,34.20,0.00,0.00%,1,1,480.27%
MP260320C00027000,3/13/2026  2:12 PM,27,30.55,29.55,31.55,-3.94,-11.42%,1,178,350.39%
MP260320C00028000,10/30/2025  9:36 AM,28,36.85,31.90,34.60,0.00,0.00%,4,53,695.70%
MP260320C00029000,10/29/2025  10:09 AM,29,36.60,30.70,34.30,0.00,0.00%,2,11,687.30%
MP260320C00030000,3/13/2026  11:53 AM,30,28.53,26.35,28.35,-4.17,-12.75%,1,71,260.94%
MP260320C00031000,7/21/2025  10:23 AM,31,33.72,36.50,40.10,0.00,0.00%,1,2,"1,136.91%"
MP260320C00032000,2/6/2026  12:24 PM,32,28.66,27.25,28.65,0.00,0.00%,1,129,507.32%
MP260320C00033000,3/9/2026  10:35 AM,33,23.30,23.30,25.70,0.00,0.00%,1,4,258.98%
MP260320C00034000,8/14/2025  12:17 PM,34,43.10,30.70,31.60,0.00,0.00%,2,61,780.76%
MP260320C00035000,3/10/2026  10:50 AM,35,25.62,21.30,23.35,0.00,0.00%,1,26,198.44%
MP260320C00036000,2/19/2026  3:11 PM,36,22.50,20.40,22.50,0.00,0.00%,2,30,215.23%
MP260320C00037000,3/12/2026  1:09 PM,37,23.80,19.45,21.35,0.00,0.00%,2,85,195.31%
MP260320C00038000,2/9/2026  10:00 AM,38,23.67,18.25,20.70,0.00,0.00%,3,6,197.85%
MP260320C00039000,2/25/2026  9:35 AM,39,20.97,17.60,19.50,0.00,0.00%,1,3,197.66%
MP260320C00040000,3/4/2026  12:37 PM,40,17.50,16.55,18.45,-4.12,-19.06%,1,392,180.47%
MP260320C00041000,3/3/2026  2:17 PM,41,21.25,15.60,17.35,0.00,0.00%,2,31,166.80%
MP260320C00042000,3/3/2026  10:16 AM,42,18.60,14.60,16.45,0.00,0.00%,4,127,163.09%
MP260320C00043000,3/13/2026  12:33 PM,43,15.11,13.55,15.35,-2.63,-14.83%,207,169,143.95%
MP260320C00044000,3/13/2026  12:33 PM,44,14.12,12.60,14.35,-2.63,-15.70%,207,168,137.50%
MP260320C00045000,3/13/2026  11:08 AM,45,14.25,11.60,13.25,-2.32,-14.00%,4,148,122.07%
MP260320C00046000,3/13/2026  3:50 PM,46,11.60,10.70,12.40,-3.10,-21.09%,1,67,126.17%
MP260320C00047000,3/13/2026  11:09 AM,47,12.30,9.70,11.45,1.10,9.82%,2,336,118.75%
MP260320C00048000,3/13/2026  3:23 PM,48,9.44,8.75,10.15,-2.33,-19.80%,1,69,97.66%
MP260320C00049000,3/12/2026  10:32 AM,49,11.70,7.90,9.50,0.00,0.00%,2,42,108.40%
MP260320C00050000,3/13/2026  3:27 PM,50,7.10,7.05,7.90,-3.90,-35.45%,7,619,81.84%
MP260320C00051000,3/13/2026  1:59 PM,51,6.65,6.10,6.85,-3.27,-32.96%,9,7,72.85%
MP260320C00052000,3/13/2026  3:18 PM,52,5.85,5.25,6.00,-4.15,-41.50%,5,62,73.34%
MP260320C00053000,3/13/2026  3:23 PM,53,5.00,4.55,5.40,-3.10,-38.27%,5,58,80.86%
MP260320C00054000,3/13/2026  2:13 PM,54,4.35,4.25,4.60,-2.76,-38.82%,38,93,87.89%
MP260320C00055000,3/13/2026  3:54 PM,55,3.51,3.60,3.75,-2.54,-41.98%,65,"1,119",84.08%
MP260320C00056000,3/13/2026  3:57 PM,56,2.97,2.98,3.10,-3.70,-55.47%,347,68,82.47%
MP260320C00057000,3/13/2026  3:47 PM,57,2.41,2.44,2.56,-2.65,-52.37%,319,76,81.98%
MP260320C00058000,3/13/2026  3:48 PM,58,1.99,1.96,2.11,-2.51,-55.78%,431,237,81.84%
MP260320C00059000,3/13/2026  3:51 PM,59,1.58,1.56,1.70,-2.22,-58.42%,150,237,81.49%
MP260320C00060000,3/13/2026  3:56 PM,60,1.25,1.23,1.36,-2.15,-63.24%,"1,861","2,277",81.45%
MP260320C00061000,3/13/2026  3:53 PM,61,0.98,0.98,1.05,-1.37,-58.30%,398,268,81.45%
MP260320C00062000,3/13/2026  3:56 PM,62,0.79,0.71,0.84,-1.16,-59.49%,283,748,80.86%
MP260320C00063000,3/13/2026  3:54 PM,63,0.59,0.57,0.64,-1.17,-66.48%,247,"1,221",81.54%
MP260320C00064000,3/13/2026  3:56 PM,64,0.46,0.40,0.54,-0.89,-65.93%,465,450,82.23%
MP260320C00065000,3/13/2026  3:59 PM,65,0.41,0.35,0.38,-0.69,-62.73%,"1,002","5,245",83.01%
MP260320C00066000,3/13/2026  3:42 PM,66,0.31,0.25,0.38,-0.62,-66.67%,933,"1,038",86.33%
MP260320C00067000,3/13/2026  3:01 PM,67,0.23,0.14,0.26,-0.57,-71.25%,313,399,83.01%
MP260320C00068000,3/13/2026  3:47 PM,68,0.19,0.16,0.22,-0.43,-69.35%,173,765,87.89%
MP260320C00069000,3/13/2026  3:31 PM,69,0.13,0.09,0.19,-0.44,-77.19%,20,455,87.70%
MP260320C00070000,3/13/2026  3:46 PM,70,0.12,0.11,0.14,-0.30,-71.43%,"1,025","6,556",91.02%
MP260320C00071000,3/11/2026  3:49 PM,71,0.53,0.01,0.23,0.00,0.00%,12,31,95.31%
MP260320C00072000,3/13/2026  3:40 PM,72,0.11,0.06,0.16,-0.19,-63.33%,70,111,98.44%
