Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MU270115C00035000,3/13/2026  10:00 AM,35,396.00,390.65,394.90,8.00,2.06%,2,95,145.75%
MU270115C00040000,2/11/2026  12:44 PM,40,366.10,386.00,390.00,0.00,0.00%,2,119,140.45%
MU270115C00045000,1/22/2026  11:15 AM,45,347.54,344.50,349.00,0.00,0.00%,2,177,0.00%
MU270115C00050000,2/27/2026  9:45 AM,50,361.40,376.50,379.55,0.00,0.00%,1,336,126.56%
MU270115C00055000,2/26/2026  9:34 AM,55,372.05,371.75,375.75,0.00,0.00%,2,111,128.25%
MU270115C00060000,3/3/2026  9:30 AM,60,328.32,367.00,371.15,0.00,0.00%,3,256,125.42%
MU270115C00065000,2/10/2026  10:42 AM,65,314.03,362.50,366.50,0.00,0.00%,3,79,123.46%
MU270115C00070000,2/27/2026  10:54 AM,70,348.17,357.70,361.75,0.00,0.00%,1,367,120.07%
MU270115C00075000,3/4/2026  10:47 AM,75,331.32,353.00,356.95,0.00,0.00%,1,370,117.04%
MU270115C00080000,3/13/2026  3:47 PM,80,349.09,348.50,351.60,21.47,6.55%,3,"1,758",113.11%
MU270115C00085000,3/2/2026  2:08 PM,85,330.62,344.00,347.70,0.00,0.00%,1,"1,342",113.56%
MU270115C00090000,3/6/2026  3:28 PM,90,287.00,339.00,343.05,0.00,0.00%,3,"4,520",110.46%
MU270115C00095000,3/6/2026  3:13 PM,95,288.66,334.50,338.45,0.00,0.00%,2,598,108.85%
MU270115C00100000,3/11/2026  2:36 PM,100,331.95,330.00,333.90,3.80,1.16%,1,909,107.35%
MU270115C00105000,3/11/2026  1:30 PM,105,324.60,325.60,329.35,0.00,0.00%,1,447,106.03%
MU270115C00110000,3/13/2026  10:31 AM,110,321.11,321.00,324.40,21.96,7.34%,30,"1,875",103.52%
MU270115C00115000,3/13/2026  10:45 AM,115,314.68,316.50,320.40,15.23,5.09%,2,430,103.04%
MU270115C00120000,3/13/2026  3:30 PM,120,310.10,312.00,315.95,41.96,15.65%,2,594,101.67%
MU270115C00125000,3/12/2026  9:39 AM,125,309.75,307.50,311.95,15.25,5.18%,1,626,101.01%
MU270115C00130000,3/5/2026  1:16 PM,130,266.03,303.50,306.70,0.00,0.00%,1,594,99.14%
MU270115C00135000,2/18/2026  10:49 AM,135,295.60,299.00,302.55,0.00,0.00%,1,500,98.17%
MU270115C00140000,3/13/2026  11:16 AM,140,292.50,294.50,298.20,0.00,0.00%,2,"2,564",96.89%
MU270115C00145000,3/5/2026  11:34 AM,145,264.50,290.50,293.90,0.00,0.00%,3,396,96.32%
MU270115C00150000,3/13/2026  2:06 PM,150,284.76,286.00,289.65,17.97,6.74%,9,"2,133",95.13%
MU270115C00155000,3/9/2026  9:37 AM,155,225.55,281.65,285.65,0.00,0.00%,1,211,94.39%
MU270115C00160000,3/10/2026  2:55 PM,160,263.50,277.75,281.00,0.00,0.00%,3,"2,277",93.38%
MU270115C00165000,3/3/2026  9:31 AM,165,234.75,273.50,277.10,0.00,0.00%,1,920,92.78%
MU270115C00170000,3/10/2026  9:34 AM,170,247.85,269.40,272.70,0.00,0.00%,1,"1,023",91.77%
MU270115C00175000,3/12/2026  10:12 AM,175,248.65,265.00,268.60,0.00,0.00%,1,747,90.74%
MU270115C00180000,3/11/2026  1:12 PM,180,259.40,261.10,264.55,0.00,0.00%,1,885,90.21%
MU270115C00185000,3/10/2026  10:38 AM,185,246.36,257.00,260.70,0.00,0.00%,20,292,89.63%
MU270115C00190000,3/10/2026  9:54 AM,190,238.67,253.00,256.45,0.00,0.00%,2,"1,335",88.75%
MU270115C00195000,3/10/2026  9:54 AM,195,234.87,249.00,252.80,0.00,0.00%,2,"1,029",88.35%
MU270115C00200000,3/13/2026  2:44 PM,200,246.90,245.05,248.50,17.40,7.58%,32,"2,025",87.41%
MU270115C00210000,3/11/2026  1:51 PM,210,235.70,237.40,240.75,0.00,0.00%,3,698,86.32%
MU270115C00220000,3/13/2026  3:02 PM,220,231.25,229.85,233.55,17.25,8.06%,14,"4,006",85.54%
MU270115C00230000,3/12/2026  1:46 PM,230,206.00,222.40,225.65,0.00,0.00%,1,990,84.20%
MU270115C00240000,3/13/2026  11:54 AM,240,211.59,215.40,218.40,-1.49,-0.70%,3,894,83.43%
MU270115C00250000,3/13/2026  2:56 PM,250,209.80,208.30,211.30,16.00,8.26%,4,979,82.55%
MU270115C00260000,3/13/2026  1:08 PM,260,198.86,201.40,204.40,16.41,8.99%,16,540,81.76%
MU270115C00270000,3/13/2026  12:54 PM,270,194.59,194.65,197.65,15.49,8.65%,2,504,81.00%
MU270115C00280000,3/11/2026  9:54 AM,280,179.00,188.10,191.10,0.00,0.00%,1,370,80.32%
MU270115C00290000,3/13/2026  3:01 PM,290,182.91,181.65,185.25,17.58,10.63%,1,365,79.90%
MU270115C00300000,3/13/2026  3:56 PM,300,176.66,175.50,178.50,14.91,9.22%,14,"2,541",79.06%
MU270115C00310000,3/13/2026  3:23 PM,310,169.00,169.50,172.65,0.07,0.04%,5,685,78.59%
MU270115C00320000,3/13/2026  12:34 PM,320,163.00,163.65,166.60,19.00,13.19%,4,"2,031",77.98%
MU270115C00330000,3/13/2026  11:26 AM,330,156.48,157.90,160.90,10.67,7.32%,1,"1,833",77.45%
MU270115C00340000,3/13/2026  11:21 AM,340,150.73,152.35,156.10,10.73,7.66%,8,"1,147",77.25%
MU270115C00350000,3/13/2026  3:57 PM,350,148.31,147.05,149.90,13.61,10.10%,25,"2,238",76.49%
MU270115C00360000,3/13/2026  3:49 PM,360,142.65,141.65,145.25,13.25,10.24%,1,629,76.20%
MU270115C00370000,3/13/2026  11:38 AM,370,134.85,136.90,139.70,-2.67,-1.94%,11,407,75.71%
MU270115C00380000,3/13/2026  3:54 PM,380,133.50,131.90,134.80,12.65,10.47%,25,823,75.27%
MU270115C00390000,3/13/2026  12:40 PM,390,128.00,127.25,130.55,12.14,10.48%,8,472,75.10%
MU270115C00400000,3/13/2026  2:48 PM,400,124.97,123.20,125.65,14.37,12.99%,122,"1,874",74.82%
MU270115C00410000,3/13/2026  3:24 PM,410,120.42,118.20,121.80,12.97,12.07%,7,607,74.48%
MU270115C00420000,3/13/2026  3:55 PM,420,115.00,114.10,117.10,11.40,11.00%,84,"1,048",74.08%
