Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
VRT270115C00027500,3/9/2026  10:49 AM,27.5,232.46,230.05,235.00,0.00,0.00%,9,16,132.72%
VRT270115C00030000,2/17/2026  11:50 AM,30,213.50,228.00,232.50,0.00,0.00%,2,20,131.54%
VRT270115C00032500,2/11/2026  10:55 AM,32.5,209.00,225.50,230.50,0.00,0.00%,3,3,130.54%
VRT270115C00035000,2/6/2026  3:50 PM,35,161.85,228.50,233.50,0.00,0.00%,1,4,182.26%
VRT270115C00037500,2/11/2026  9:34 AM,37.5,208.50,220.50,225.50,0.00,0.00%,1,15,121.09%
VRT270115C00040000,3/9/2026  10:58 AM,40,220.33,218.50,223.00,0.00,0.00%,10,136,120.31%
VRT270115C00042500,10/8/2025  9:55 AM,42.5,124.51,129.00,134.00,0.00,0.00%,1,9,0.00%
VRT270115C00045000,11/18/2025  1:57 PM,45,126.00,125.00,129.00,0.00,0.00%,4,48,0.00%
VRT270115C00047500,3/2/2026  9:49 AM,47.5,205.15,211.00,215.95,0.00,0.00%,2,77,111.60%
VRT270115C00050000,2/11/2026  11:34 AM,50,191.87,209.15,213.50,0.00,0.00%,11,109,111.82%
VRT270115C00055000,3/11/2026  12:45 PM,55,216.50,204.00,208.90,0.00,0.00%,5,20,106.51%
VRT270115C00060000,3/9/2026  2:27 PM,60,203.75,199.85,204.00,-1.00,-0.49%,2,129,104.52%
VRT270115C00062500,8/11/2025  2:11 PM,62.5,84.80,0.00,0.00,0.00,0.00%,10,7,0.00%
VRT270115C00065000,2/12/2026  1:23 PM,65,176.34,195.00,199.50,0.00,0.00%,1,89,101.32%
VRT270115C00067500,12/17/2025  11:26 AM,67.5,90.30,123.50,126.50,0.00,0.00%,1,14,0.00%
VRT270115C00070000,2/17/2026  3:39 PM,70,175.29,190.60,195.00,0.00,0.00%,1,972,99.68%
